"error_severity","event_message","id","identifier","timestamp"
"LOG","connection authenticated: identity="supabase_admin" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)","c6b3dba6-aef0-43a5-a0a8-c906ef058886","emczcwlvbdrkaoyhpxzy","1737098894630000"
"LOG","connection authorized: user=supabase_admin database=postgres application_name=realtime_subscription_manager SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)","cd974110-e45d-47ca-810d-4548fef956f3","emczcwlvbdrkaoyhpxzy","1737098894630000"
"LOG","connection authorized: user=supabase_admin database=postgres application_name=realtime_subscription_manager_pub SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)","267f5050-4c63-4ee6-855d-0ad1f0dba65c","emczcwlvbdrkaoyhpxzy","1737098894627000"
"LOG","connection authenticated: identity="supabase_admin" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)","8b42a66c-aa7a-43d2-94fb-15799a07c676","emczcwlvbdrkaoyhpxzy","1737098894627000"
"LOG","connection authenticated: identity="supabase_admin" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)","a4d2d9d3-d05d-4f48-8ab0-34cc8459cfc6","emczcwlvbdrkaoyhpxzy","1737098894626000"
"LOG","connection authorized: user=supabase_admin database=postgres application_name=realtime_subscription_checker SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)","0f6c5d50-0ef4-4262-b3a8-ad2a8de147f2","emczcwlvbdrkaoyhpxzy","1737098894626000"
"LOG","connection authorized: user=supabase_admin database=postgres application_name=realtime_subscription_manager SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)","99073df5-18bc-4d93-aa48-172d2bf9a153","emczcwlvbdrkaoyhpxzy","1737098894625000"
"LOG","connection authenticated: identity="supabase_admin" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)","1037f0a9-b5a6-4cc4-953e-a41814fd5759","emczcwlvbdrkaoyhpxzy","1737098894625000"
"LOG","connection authorized: user=supabase_admin database=postgres application_name=realtime_subscription_checker SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)","8869b3a4-6516-4f0f-9c5d-ade89ea57086","emczcwlvbdrkaoyhpxzy","1737098894607000"
"LOG","connection authenticated: identity="supabase_admin" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)","6b343d82-9f88-4ae6-963f-8133f20488f6","emczcwlvbdrkaoyhpxzy","1737098894607000"
"LOG","connection authenticated: identity="supabase_admin" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)","5c30abb8-53e5-484c-8906-fe6e62492b36","emczcwlvbdrkaoyhpxzy","1737098894596000"
"LOG","connection authorized: user=supabase_admin database=postgres application_name=realtime_subscription_manager SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)","54d194a3-344e-4979-bf04-430a5e53ae11","emczcwlvbdrkaoyhpxzy","1737098894596000"
"LOG","connection authenticated: identity="supabase_admin" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)","94cbe494-102f-4c38-9d4a-58bdafa82106","emczcwlvbdrkaoyhpxzy","1737098894595000"
"LOG","connection authorized: user=supabase_admin database=postgres application_name=realtime_subscription_manager SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)","f4096d20-f91c-4207-a35f-c0a43dcc764e","emczcwlvbdrkaoyhpxzy","1737098894595000"
"LOG","connection authorized: user=authenticator database=postgres application_name=postgrest SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)","b3bd6978-0659-4297-8199-8a57838b5d25","emczcwlvbdrkaoyhpxzy","1737098894538000"
"LOG","connection authenticated: identity="supabase_admin" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)","b856db3a-4331-46cc-bc50-b75458baebee","emczcwlvbdrkaoyhpxzy","1737098894411000"
"LOG","connection authorized: user=supabase_admin database=postgres application_name=realtime_migrations SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)","4b0ebf9c-2e18-4625-81a2-7cac75a31346","emczcwlvbdrkaoyhpxzy","1737098894411000"
"LOG","connection authenticated: identity="supabase_admin" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)","50490725-f356-44d3-8075-cadcce70ccd8","emczcwlvbdrkaoyhpxzy","1737098894411000"
"LOG","connection authorized: user=supabase_admin database=postgres application_name=realtime_migrations SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)","765e1d08-e115-407d-8409-959017972232","emczcwlvbdrkaoyhpxzy","1737098894411000"
"LOG","connection authorized: user=supabase_admin database=postgres application_name=realtime_connect SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)","26ab2cbd-af14-40ab-9468-e224fd8acc93","emczcwlvbdrkaoyhpxzy","1737098894340000"
"LOG","connection authenticated: identity="supabase_admin" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)","80ecee64-9f30-49f5-b317-a43119f81e41","emczcwlvbdrkaoyhpxzy","1737098894339000"
"LOG","connection authenticated: identity="supabase_admin" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)","8d7f3b9c-4ce8-4951-acd9-94f97285eefd","emczcwlvbdrkaoyhpxzy","1737098894336000"
"LOG","connection authorized: user=supabase_admin database=postgres application_name=realtime_connect SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)","36b697c3-a7ee-47bc-adc9-c5fb45d1afae","emczcwlvbdrkaoyhpxzy","1737098894336000"
"ERROR","relation "public.tables" does not exist","5f027afa-cf8e-4ff6-bf99-2ecf9fb3f755","emczcwlvbdrkaoyhpxzy","1737098894030000"
"ERROR","relation "public.tables" does not exist","f94ee1a2-ff3e-4208-8437-012e9a07b16a","emczcwlvbdrkaoyhpxzy","1737098893857000"
"ERROR","relation "public.tables" does not exist","e9488f17-b7f8-43e2-97a5-7fa5ea1b2b8b","emczcwlvbdrkaoyhpxzy","1737098893856000"
"ERROR","relation "public.tables" does not exist","ef9a0a5a-40ff-46fb-a8fd-586c9c1ecf2a","emczcwlvbdrkaoyhpxzy","1737098893849000"
